RMD,PT,activity_multiplier,base_score,raw_corr,raw_lag,resid_corr,resid_lag,diff_corr,diff_lag,segment_support,active_overlap,pt_hubness,pt_median_base_score,specificity_score,hub_multiplier,score
RMD_Anorexia Nervosa_NoM,PT_Psychoeducation Programs_NoM,1.0172633650380343,0.15400667418940897,0.4305389416882658,1,0.0790168516097542,1,0.23599229252016618,1,0.6666666666666666,96,0.1875,0.17153193434449543,0.0,0.90625,0.14197797128446238
RMD_Anorexia Nervosa_NoM,PT_Psychophysiological Metrics For Treatment Response_NoM,1.0194189382028969,0.06799911840826585,0.0,0,0.0,0,0.18133098242204226,0,0.6666666666666666,96,0.08333333333333333,0.15531579991444544,0.0,0.9583333333333334,0.06643127287455046
RMD_Anorexia Nervosa_NoM,PT_Reality Testing Techniques_NoM,1.0000001619886496,0.0735042464261783,0.0,0,0.19601132380314215,6,0.0,0,0.6666666666666666,33,0.08333333333333333,0.08058094723004484,0.0,0.9583333333333334,0.07044158090248892
RMD_Anorexia Nervosa_NoM,PT_Regenerative Medicine Approaches_NoM,1.0850695717410905,0.01521547969398649,0.0,0,0.0,0,0.05071826564662164,1,0.3333333333333333,96,0.08333333333333333,0.13322619173383565,0.0,0.9583333333333334,0.015821943450581296
RMD_Anorexia Nervosa_NoM,PT_Resting State Fmri_NoM,1.080071637304599,0.05220512721332607,0.07823475348193859,6,0.0,0,0.15663158993732276,1,0.3333333333333333,96,0.14583333333333334,0.12395061619486245,0.0,0.9270833333333334,0.052273850760669635
RMD_Anorexia Nervosa_NoM,PT_Schema Therapy_NoM,1.00459327517783,0.27107485836026934,0.6791737855249689,6,0.3398704900036989,6,0.11159057623579548,6,1.0,96,0.020833333333333332,0.1433368594601147,0.12773799890015464,0.9895833333333334,0.2694833133224832
RMD_Anorexia Nervosa_NoM,PT_Secure Data Storage For Patient Records_NoM,1.002002784087612,0.26874067300941806,0.0,0,0.48612189536564143,0,0.11107960021084319,4,1.0,86,0.020833333333333332,0.11300547298247035,0.1557352000269477,0.9895833333333334,0.2664739139847549
RMD_Anorexia Nervosa_NoM,PT_Selective Serotonin Reuptake Inhibitors_NoM,1.0805823001433164,0.12757463472656275,0.7379013713727209,1,0.04152405047497923,6,0.21974664941962527,1,0.3333333333333333,96,0.14583333333333334,0.17197082692504195,0.0,0.9270833333333334,0.12780297300746626
RMD_Anorexia Nervosa_NoM,PT_Sleep Pattern Monitoring And Manipulation_NoM,1.001611747933627,0.0365038471826564,0.14065285381130294,6,0.007725771437469442,6,0.08269752943554015,1,0.3333333333333333,96,0.0625,0.15770321214920374,0.0,0.96875,0.03542009836470616
RMD_Anorexia Nervosa_NoM,PT_Smart Wearable Mental Health Trackers_NoM,1.0290882749541888,0.06676072220275006,0.62800162362722,0,0.0,0,0.0829798243142291,2,0.3333333333333333,96,0.14583333333333334,0.10138384028676478,0.0,0.9270833333333334,0.06369310628877943
RMD_Anorexia Nervosa_NoM,PT_Social Skills Training_NoM,1.0507113721957473,0.1653778139557728,0.8017308599851621,1,0.00664207880891438,0,0.18270176109610026,4,1.0,96,0.08333333333333333,0.1487278168815449,0.0166499970742279,0.9583333333333334,0.16652416858919458
RMD_Anorexia Nervosa_NoM,PT_Speech Language Therapy_NoM,1.015639009697811,0.0657286630492308,0.0,0,0.050863744481098934,0,0.12441269031684991,1,0.6666666666666666,96,0.16666666666666666,0.09653772089435049,0.0,0.9166666666666666,0.061193544727408386
RMD_Anorexia Nervosa_NoM,PT_Stem Cell Therapy For Neurological Disorders_NoM,1.0461637662622818,0.0012809378040594165,0.0,0,0.0,0,0.004269792680198055,4,0.3333333333333333,96,0.10416666666666667,0.16303888357810975,0.0,0.9479166666666666,0.0012702753675757372
RMD_Anorexia Nervosa_NoM,PT_Stimulant And Wake Promoting Agents_NoM,1.0471523893326538,0.35322943083591235,0.8624897734180303,0,0.3330313732299393,0,0.2602585234236369,5,1.0,96,0.22916666666666666,0.16200958243243674,0.1912198484034756,0.8854166666666666,0.3275023813646595
RMD_Anorexia Nervosa_NoM,PT_Traditional And Alternative Medicine Approaches_NoM,1.06319290571023,0.03551675913039716,0.0,0,0.0,0,0.11838919710132388,1,0.3333333333333333,96,0.14583333333333334,0.13686992512630042,0.0,0.9270833333333334,0.03500774796220729
RMD_Anorexia Nervosa_NoM,PT_Transcranial Direct Current Stimulation_NoM,1.0426914853072875,0.30524643504112475,0.87141363966474,2,0.2843330740012096,0,0.20034486172023647,3,1.0,96,0.22916666666666666,0.15972439401250516,0.1455220410286196,0.8854166666666666,0.28180852075741364
RMD_Anorexia Nervosa_NoM,PT_Transcranial Magnetic Stimulation_NoM,1.1,0.08547761565324086,0.5902639496963898,1,0.0,0,0.15375561891160514,1,0.3333333333333333,96,0.16666666666666666,0.13701636481975138,0.0,0.9166666666666666,0.08618992911701787
